交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段
2019/06/13,CBO,201906  ,21.0000,買權,-,-,-,-,0,3.45,0,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,21.0000,買權,-,-,-,-,0,3.16,0,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,21.0000,買權,-,-,-,-,0,3.2,0,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,21.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,21.5000,買權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,21.5000,買權,-,-,-,-,0,3,0,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,21.5000,買權,-,-,-,-,0,3.05,0,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,21.5000,買權,-,-,-,-,0,3.1,0,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,21.5000,買權,-,-,-,-,0,2.7,0,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,21.5000,買權,-,-,-,-,0,2.85,0,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,21.5000,買權,-,-,-,-,0,3,0,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,21.5000,買權,-,-,-,-,0,2.9,0,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,21.5000,買權,-,-,-,-,0,3.05,0,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,21.5000,買權,-,-,-,-,0,2.95,0,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,21.5000,買權,-,-,-,-,0,2.66,0,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,21.5000,買權,-,-,-,-,0,2.71,0,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,21.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,22.0000,買權,-,-,-,-,0,0,5,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.5,5,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.55,5,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.6,5,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.2,5,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.35,5,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.5,5,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.4,5,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.55,5,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.45,5,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.16,5,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,22.0000,買權,-,-,-,-,0,2.21,5,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,22.0000,賣權,0.01,0.01,0.01,0.01,25,0.01,25,-,0.01,0.01,0.01,,一般,
2019/06/17,CBO,201906  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,22.0000,賣權,0.01,0.01,0.01,0.01,20,0,45,-,0.03,0.01,0.01,,一般,
2019/06/04,CBO,201906  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,22.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,22.5000,買權,-,-,-,-,0,0,10,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,22.5000,買權,-,-,-,-,0,2,10,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,22.5000,買權,-,-,-,-,0,2.05,10,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,22.5000,買權,-,-,-,-,0,2.1,10,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,22.5000,買權,-,-,-,-,0,1.71,10,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,22.5000,買權,-,-,-,-,0,1.85,10,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,22.5000,買權,-,-,-,-,0,2,10,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,22.5000,買權,-,-,-,-,0,1.9,10,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,22.5000,買權,-,-,-,-,0,2.05,10,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,22.5000,買權,-,-,-,-,0,1.95,10,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,22.5000,買權,1.66,1.66,1.66,1.66,5,1.66,10,-,-,1.66,1.61,,一般,
2019/06/04,CBO,201906  ,22.5000,買權,-,-,-,-,0,1.71,10,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/06,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/18,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/17,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0,0,-,-,-,-,,一般,
2019/06/04,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,22.5000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/19,CBO,201906  ,23.0000,買權,-,-,-,-,0,0,20,-,-,-,-,,一般,
2019/06/14,CBO,201906  ,23.0000,買權,1.56,1.56,1.56,1.56,5,1.5,20,1.47,1.73,1.63,1.12,,一般,
2019/06/17,CBO,201906  ,23.0000,買權,1.44,1.44,1.44,1.44,5,1.55,20,-,-,1.63,1.12,,一般,
2019/06/18,CBO,201906  ,23.0000,買權,-,-,-,-,0,1.6,20,-,-,-,-,,一般,
2019/06/05,CBO,201906  ,23.0000,買權,1.21,1.21,1.21,1.21,5,1.21,20,1.15,1.31,1.63,1.12,,一般,
2019/06/06,CBO,201906  ,23.0000,買權,1.16,1.16,1.16,1.16,5,1.35,20,1.2,1.36,1.63,1.12,,一般,
2019/06/11,CBO,201906  ,23.0000,買權,-,-,-,-,0,1.4,20,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,23.0000,買權,1.4,1.4,1.4,1.4,5,1.5,20,1.37,1.44,1.63,1.12,,一般,
2019/06/12,CBO,201906  ,23.0000,買權,-,-,-,-,0,1.55,20,-,-,-,-,,一般,
2019/06/13,CBO,201906  ,23.0000,買權,-,-,-,-,0,1.45,20,-,-,-,-,,一般,
2019/06/03,CBO,201906  ,23.0000,買權,1.17,1.17,1.17,1.17,15,1.16,25,-,-,1.63,1.12,,一般,
2019/06/04,CBO,201906  ,23.0000,買權,1.16,1.16,1.16,1.16,5,1.21,25,-,-,1.63,1.12,,一般,
2019/06/13,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/12,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/10,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
2019/06/11,CBO,201906  ,23.0000,賣權,-,-,-,-,0,0.01,0,-,-,-,-,,一般,
